,index,Timestamp,Value 1,Moving average (5),Moving average (6),Moving average (8),Moving average (10)
0,0,1593135422952.0,20735976.0,0.0,0.0,0.0,0.0
1,1,1593135483117.0,32250.0,0.0,0.0,0.0,0.0
2,2,1593135543259.0,0.0,0.0,0.0,0.0,0.0
3,3,1593135603401.0,7304.0,0.0,0.0,0.0,0.0
4,4,1593135663565.0,9742.0,4157054.4,0.0,0.0,0.0
5,5,1593135723735.0,5061.0,10871.4,3465055.5,0.0,0.0
6,6,1593135783893.0,11907.0,6802.8,11044.0,0.0,0.0
7,7,1593135844063.0,6013.0,8005.4,6671.166666666667,2601031.625,0.0
8,8,1593135904232.0,11165.0,8777.6,8532.0,10430.25,0.0
9,9,1593135964395.0,4349.0,7699.0,8039.5,6942.625,2082376.7
10,10,1593136024565.0,7491.0,8185.0,7664.333333333333,7879.0,9528.2
11,11,1593136084723.0,3979.0,6599.4,7484.0,7463.375,6701.1
12,12,1593136144886.0,3519.0,6100.6,6086.0,6685.5,7053.0
13,13,1593136205054.0,0.0,3867.6,5083.833333333333,6052.875,6322.6
14,14,1593136265224.0,0.0,2997.8,3223.0,4564.5,5348.4
15,15,1593136325372.0,0.0,1499.6,2498.1666666666665,3812.875,4842.3
16,16,1593136385497.0,0.0,703.8,1249.6666666666667,2417.25,3651.6
17,17,1593136445656.0,0.0,0.0,586.5,1873.625,3050.3
18,18,1593136505821.0,0.0,0.0,0.0,937.25,1933.8
19,19,1593136565996.0,0.0,0.0,0.0,439.875,1498.9
20,20,1593136626168.0,0.0,0.0,0.0,0.0,749.8
21,21,1593136686391.0,0.0,0.0,0.0,0.0,351.9
22,22,1593136746632.0,0.0,0.0,0.0,0.0,0.0
23,23,1593136806804.0,0.0,0.0,0.0,0.0,0.0
24,24,1593136866975.0,0.0,0.0,0.0,0.0,0.0
25,25,1593136927100.0,0.0,0.0,0.0,0.0,0.0
26,26,1593136987259.0,0.0,0.0,0.0,0.0,0.0
27,27,1593137047429.0,5681.0,1136.2,946.8333333333334,710.125,568.1
28,28,1593137107602.0,16443.0,4424.8,3687.3333333333335,2765.5,2212.4
29,29,1593137167728.0,10965.0,6617.8,5514.833333333333,4136.125,3308.9
30,30,1593137227911.0,16503.0,9918.4,8265.333333333334,6199.0,4959.2
31,31,1593137288076.0,8826.0,11683.6,9736.333333333334,7302.25,5841.8
32,32,1593137348245.0,9614.0,12470.2,11338.666666666666,8504.0,6803.2
33,33,1593137408429.0,4953.0,10172.2,11217.333333333334,9123.125,7298.5
34,34,1593137468604.0,6135.0,9206.2,9499.333333333334,9890.0,7912.0
35,35,1593137528788.0,5743.0,7054.2,8629.0,9897.75,8486.3
36,36,1593137588956.0,5931.0,6475.2,6867.0,8583.75,9079.4
37,37,1593137649121.0,7602.0,6072.8,6663.0,8163.375,9271.5
